n,score,ratio,iterations,moves
67,155,"2.31",100000,"ccccrcrrcrccrrccrcrrcrcccrrrcrrcrtcrrtcrrrrcrrcrccrrrcrrcrccrccrrcrrrcrccrrtcrrrrrcrtrtccrrrtrrccrcrrcrrrccrrtrcrcrrrrcrcccrrcrrtrrcrcrtrrcrcrccrrcrcrrrrrrrcrcccrrrtrrtrcccrrrcrcrtrrrrrrtrrtrttrtrrttttrtrrttrrtrrrrtrrrrrrttrtttrrtrrtttrtrttrrttttrttttrrrrrrrtrrtrtttrttttrttttrtrtrttrtrttt"
68,152,"2.24",100000,"ccrcrtrcrccccrrcrrcrcrccrrcrrtcccrrrrrcrtrccrrccrrcrccrrcrtrrrrcrcrrrcrtrrrccrcrcrrcccrrrcrrcccrrrcrcrrccrrrrcrtrrrtrcrtcrccrcrrrtccrrcrrtcrrccrrcrrcrtcrrcrrcrrcrcccrcrrrtrrcrrcrrrrrttrrrrtrrtrttrrtrrrrttrrttrtrrttttttrrrttttrtrtttrtrtttrtrrrrrttrrrrrtrrrrrttrrtttrttttrtttrttttrtrtrrtttt"
69,157,"2.28",100000,"cccrccrrcccrrrcrrttrccrrrcrcrrcrtrtccccrrrccrrcccrrcrrrcrrrrrttrccrrrrcrtrrccrrtrtcrrrcrcrccrrtcrrccrrcrcccrcccrcrrrrrcrrrrrrcrccrcrcrcrrtrrcrtrrrtrcrtrrrtrccrrrrtrtcrrttrccrcrrrtcrccrrtcrcrrcrrrrrrrtrtcrtcrrtrrtrrrrttrrtrrtttrtrrrrrtrrtttrtttrtrrttrtrrttttrrtrrrrtttttttrrttrtrrrtttrrtrrrtttttt"
70,160,"2.29",100000,"ccrcccccrcrrrrccrcrrccrrcrrtrcrtrtrrrrcrtrcrccrrccrrcrrcrtrrccrcrcrrcrtrrrcrrtcrcrtrrrtrrccccrcrcrrrcrrrrrcccrrccrrrrccrcrrrrrcrccrrrcrtrcrccrcrrcrtrccrrrrrccrccrcrrrrccrcrrcrrtrcrrrcccrrrtrtrrttrrrtrrtrrrttrrttrtrrtrrrrrtttttrtrttrrtrtrrrtttttrrtrttrttrrtttrrrtrrrttrtrtrrrrttttrttrrttrrtttrrttttttt"
71,160,"2.25",100000,"ccrcccrrrtrcrtrccrrcrcrtrrrrcrtrrcrcrcrccrrccrrccrrcrtccrrrccrrrrrccrcrrrcccrrrrcrcrrtrcrcrccrcrccrrcrrccrrrtrrttrcrcrtrrtrccrrrrrcrcrrtrrrtcccrrrrrtrrcrcrcrccrcccrrcrcccrrrrcrrtrcrrrrrccccrcrrrrrttrrrttrrrttrtrttrttrrrrtttrrtrttrrtrtrrrtrtrrrrrtttrtttrrrttrttrttttrtrttrtrtrrtrrrttrrrtrtttrtrttttttrtt"
72,163,"2.26",100000,"ccrccrcrcrrcrcrccrrtrcrrcrcrcrcrrcrccrrcrrttrcrrrccrcccrrrccccrrrcrccrcrrrrcrccrrrccccrrrrrcrrcccrrrtrcrtrrrcrtrrrcrtcrrcrrrcrrrcrrrrcrrccrcrrrccrcrrccccrcccrrcrrcrrrcrrtrccrrrrrtrccrrtrtrtrrrtrrtrtrtrrrtrrrttttrrrrttrtrttrrrtrtrtttrrtttrrtrrttrrrrtrtrttrrtrrtrttttrttttttrrtttrrrrtttrrtrtrrrttrrtrtttttrttt"
73,165,"2.26",100000,"cccrcrcrcccrcrrrcccrrcrrrttrrccrrrccrrcccrrrrcrcrccrrtcrrrcrcrrccrrtrrrrtrccrrrtcrrccrcrrcrrtrcccrrrcrrccccrrrrtcrccrrrtrrcrrtrrrrcrccrcrrccrrrccrcrrtrcrrttrrrcrcrrrcrtccrccrrrcrcrrrcrrrrrcrtcrcccrrrrtrrrttrrtrttrrrrtrtrrtttttrttrrttrtrrrrrtttrtrrrtrttrtrrrtrtrtttrtttrrtrrrrrtttrrttrrrttttttrrrtrrttrtttttrtttt"
74,165,"2.23",100000,"cccccrrrrtcrtcrrtrccrccrrrtcrrccrcrcrrcrccccrcrrrrcrrcrccrrtrrtcrcrrcrrrrrccrrrcrcrtrrtccrcccrrrrrcrrccrrccrrrrrtcrtrcccrrrrccrrtrtcrccrcrrcrrrcrrtrcrrrrrrcrrcrtcrrcccrrrtcrcccrrrrrcrrcrtcrcrrcrrcccrrrtrrrtrrtrtrrtttrrtrrrtrtttttrrrrttrrttrrttrtrtttrrttrrrttrrtrrtrttrrrrtttrrttttttrrrrtrrttrrrtrtttrtrtttrrtttttt"
75,168,"2.24",100000,"ccrtcrccrrccrrtccrcrcrrrcrcccrrcrcccrrcrrrcrrttrrcccccrrrrrrcrrcrtrtcrcrrrrcrcrrtcrcrtcccrrccrcrrrrrcrrcrrrrrcrtcrcrcrccrrrcrcccrcccrrcrrrcrrcrcrtcccccrrrrrrcrccrrrrrrtrtrrrrcrtrcrrcrrcrrccrrrtcrrcrtrtrrrtrrrrtrtttrrtrrrrtrtrtrttrrtrrtttrrrtrrtrtrtrrtrttrrtttttrrrrrttttrttrtrrrtrrttrrtrttttrrrtrtrtrtrtrtttrttttttrttt"
76,171,"2.25",100000,"ccccrcrrrcrcrtrrtrtcccrcrrrrcccrrcccrrccccrccrcrrrcrccrcrrcrcrccrrrcrcrrrrrtcccrcrcrrrtcrcrrccrrrtrrcrtrtrrcrcrtccrcrrcrrrcrcrcccrcrccrrcrrcrrcrcrcrrrccrrtrtrcrccrrtrcrrrrcrrrrcrrrcrrrrrrtcrrttrrrcrtrrcrcrtrrtrrrrrtrrrrrrtrrttrrttttrrtttttrttttrrrrrtrrrttttttrrttrtrrrtrrtrrttttrtrrtrrrtrrrrtttrttttrtrrtrtrrttrrtrttttttttt"
